date,heure,température 1,température 2,humidité,pression
11/10/18,10:48:00,33.5,33.5,51.6,1260.0
11/10/18,10:51:00,33.5,33.5,51.6,1260.0
11/10/18,10:54:00,33.5,33.5,51.6,1260.0
11/10/18,10:57:00,33.5,33.5,51.6,1260.0
11/10/18,11:02:59,33.5,33.5,51.6,1260.0
11/10/18,11:06:00,33.5,33.5,51.6,1260.0
11/10/18,11:09:00,33.5,33.5,51.6,1260.0
11/10/18,11:12:00,33.5,33.5,51.6,1260.0
11/10/18,11:15:00,33.5,33.5,51.6,1260.0
11/10/18,11:18:00,33.5,33.5,51.6,1260.0
11/10/18,11:21:00,33.5,33.5,51.6,1260.0
11/10/18,11:24:00,33.5,33.5,51.6,1260.0
11/10/18,11:27:00,33.5,33.5,51.6,1260.0
11/10/18,11:30:00,33.5,33.5,51.6,1260.0
11/10/18,11:33:00,33.5,33.5,51.6,1260.0
11/10/18,11:36:00,33.5,33.5,51.6,1260.0
11/10/18,11:39:00,33.5,33.5,51.6,1260.0
11/10/18,11:42:00,33.5,33.5,51.6,1260.0
11/10/18,11:45:00,33.5,33.5,51.6,1260.0
11/10/18,11:48:00,33.5,33.5,51.6,1260.0
11/10/18,11:51:00,33.5,33.5,51.6,1260.0
11/10/18,11:54:00,33.5,33.5,51.6,1260.0
11/10/18,11:57:00,33.5,33.5,51.6,1260.0
11/10/18,12:03:00,33.5,33.5,51.6,1260.0
11/10/18,12:06:00,33.5,33.5,51.6,1260.0
11/10/18,12:09:00,33.5,33.5,51.6,1260.0
11/10/18,12:12:00,33.5,33.5,51.6,1260.0
11/10/18,12:15:00,33.5,33.5,51.6,1260.0
11/10/18,12:18:00,33.5,33.5,51.6,1260.0
11/10/18,12:21:00,33.5,33.5,51.6,1260.0
11/10/18,12:24:00,33.5,33.5,51.6,1260.0
11/10/18,12:27:00,33.5,33.5,51.6,1260.0
11/10/18,12:30:00,33.5,33.5,51.6,1260.0
11/10/18,12:33:00,33.5,33.5,51.6,1260.0
11/10/18,12:36:00,33.5,33.5,51.6,1260.0
11/10/18,12:38:59,33.5,33.5,51.6,1260.0
11/10/18,12:42:00,33.5,33.5,51.6,1260.0
11/10/18,12:44:59,33.5,33.5,51.6,1260.0
11/10/18,12:47:59,33.5,33.5,51.6,1260.0
11/10/18,12:51:00,33.5,33.5,51.6,1260.0
11/10/18,12:54:00,33.5,33.5,51.6,1260.0
11/10/18,12:57:00,33.5,33.5,51.6,1260.0
11/10/18,13:03:00,33.5,33.5,51.6,1260.0
11/10/18,13:06:00,33.5,33.5,51.6,1260.0
11/10/18,13:09:00,33.5,33.5,51.6,1260.0
11/10/18,13:12:00,22.8,22.8,32.2,918.6
11/10/18,13:15:00,22.8,22.8,32.2,918.6
11/10/18,13:18:00,22.8,22.8,32.2,918.6
11/10/18,13:21:00,22.8,22.8,32.2,918.6
11/10/18,13:24:00,22.8,22.8,32.2,918.6
11/10/18,13:27:00,22.8,22.8,32.2,918.6
11/10/18,13:30:00,22.8,22.8,32.2,918.6
11/10/18,13:33:00,22.8,22.8,32.2,918.6
11/10/18,13:36:00,22.8,22.8,32.2,918.6
11/10/18,13:39:00,22.8,22.8,32.2,918.6
11/10/18,13:41:59,22.8,22.8,32.2,918.6
11/10/18,13:45:00,22.8,22.8,32.2,918.6
11/10/18,13:48:00,22.8,22.8,32.2,918.6
11/10/18,13:51:00,22.8,22.8,32.2,918.6
11/10/18,13:54:00,22.8,22.8,32.2,918.6
11/10/18,13:57:00,22.8,22.8,32.2,918.6
11/10/18,14:03:00,22.8,22.8,32.2,918.6
11/10/18,14:06:00,22.8,22.8,32.2,918.6
11/10/18,14:09:00,22.8,22.8,32.2,918.6
11/10/18,14:12:00,22.8,22.8,32.2,918.6
11/10/18,14:15:00,22.8,22.8,32.2,918.6
11/10/18,14:18:00,22.8,22.8,32.2,918.6
11/10/18,14:21:00,22.8,22.8,32.2,918.6
11/10/18,14:24:00,22.8,22.8,32.2,918.6
11/10/18,14:27:00,22.8,22.8,32.2,918.6
11/10/18,14:30:00,22.8,22.8,32.2,918.6
11/10/18,14:33:00,22.8,22.8,32.2,918.6
11/10/18,14:35:59,22.8,22.8,32.2,918.6
11/10/18,14:39:00,22.8,22.8,32.2,918.6
11/10/18,14:41:59,22.8,22.8,32.2,918.6
11/10/18,14:45:00,22.8,22.8,32.2,918.6
11/10/18,14:47:59,22.8,22.8,32.2,918.6
11/10/18,14:51:00,22.8,22.8,32.2,918.6
11/10/18,14:54:00,22.8,22.8,32.2,918.6
11/10/18,14:57:00,22.8,22.8,32.2,918.6
11/10/18,15:03:00,22.8,22.8,32.2,918.6
11/10/18,15:06:00,22.8,22.8,32.2,918.6
11/10/18,15:08:59,22.8,22.8,32.2,918.6
11/10/18,15:12:00,22.8,22.8,32.2,918.6
11/10/18,15:15:00,22.8,22.8,32.2,918.6
11/10/18,15:18:00,22.8,22.8,32.2,918.6
11/10/18,15:21:00,22.8,22.8,32.2,918.6
11/10/18,15:24:00,22.8,22.8,32.2,918.6
11/10/18,15:27:00,22.8,22.8,32.2,918.6
11/10/18,15:30:00,22.8,22.8,32.2,918.6
11/10/18,15:33:00,22.8,22.8,32.2,918.6
11/10/18,15:36:00,22.8,22.8,32.2,918.6
11/10/18,15:39:00,53.6,53.59,27.0,691.0
11/10/18,15:42:00,53.6,53.59,27.0,691.0
11/10/18,15:45:00,53.6,53.59,27.0,691.0
11/10/18,15:48:00,53.6,53.59,27.0,691.0
11/10/18,15:51:00,53.6,53.59,27.0,691.0
11/10/18,15:54:00,53.6,53.59,27.0,691.0
11/10/18,15:57:00,53.6,53.59,27.0,691.0
11/10/18,16:03:00,53.6,53.59,27.0,691.0
11/10/18,16:06:00,53.6,53.59,27.0,691.0
11/10/18,16:08:59,53.6,53.59,27.0,691.0
11/10/18,16:12:00,53.6,53.59,27.0,691.0
11/10/18,16:14:59,53.6,53.59,27.0,691.0
11/10/18,16:18:00,53.6,53.59,27.0,691.0
11/10/18,16:21:00,53.6,53.59,27.0,691.0
11/10/18,16:24:00,53.6,53.59,27.0,691.0
11/10/18,16:27:00,53.6,53.59,27.0,691.0
11/10/18,16:30:00,53.6,53.59,27.0,691.0
11/10/18,16:33:00,53.6,53.59,27.0,691.0
11/10/18,16:35:59,53.6,53.59,27.0,691.0
11/10/18,16:39:00,53.6,53.59,27.0,691.0
11/10/18,16:42:00,53.6,53.59,27.0,691.0
11/10/18,16:45:00,53.6,53.59,27.0,691.0
11/10/18,16:48:00,53.6,53.59,27.0,691.0
11/10/18,16:51:00,53.6,53.59,27.0,691.0
11/10/18,16:53:59,53.6,53.59,27.0,691.0
11/10/18,16:57:00,53.6,53.59,27.0,691.0
11/10/18,17:03:00,53.6,53.59,27.0,691.0
11/10/18,17:06:00,53.6,53.59,27.0,691.0
11/10/18,17:09:00,53.6,53.59,27.0,691.0
11/10/18,17:12:00,53.6,53.59,27.0,691.0
11/10/18,17:15:00,53.6,53.59,27.0,691.0
11/10/18,17:18:00,53.6,53.59,27.0,691.0
11/10/18,17:21:00,53.6,53.59,27.0,691.0
11/10/18,17:24:00,53.6,53.59,27.0,691.0
11/10/18,17:27:00,53.6,53.59,27.0,691.0
11/10/18,17:30:00,53.6,53.59,27.0,691.0
11/10/18,17:33:00,53.6,53.59,27.0,691.0
11/10/18,17:36:00,53.6,53.59,27.0,691.0
11/10/18,17:39:00,53.6,53.59,27.0,691.0
11/10/18,17:42:00,53.6,53.59,27.0,691.0
11/10/18,17:45:00,53.6,53.59,27.0,691.0
11/10/18,17:48:00,53.6,53.59,27.0,691.0
11/10/18,17:51:00,53.6,53.59,27.0,691.0
11/10/18,17:53:59,53.6,53.59,27.0,691.0
11/10/18,17:57:00,53.6,53.59,27.0,691.0
11/10/18,18:03:00,53.6,53.59,27.0,691.0
11/10/18,18:05:59,53.6,53.59,27.0,691.0
11/10/18,18:09:00,53.6,53.59,27.0,691.0
11/10/18,18:12:00,53.6,53.59,27.0,691.0
11/10/18,18:15:00,53.6,53.59,27.0,691.0
11/10/18,18:18:00,53.6,53.59,27.0,691.0
11/10/18,18:21:00,53.6,53.59,27.0,691.0
11/10/18,18:24:00,53.6,53.59,27.0,691.0
11/10/18,18:27:00,53.6,53.59,27.0,691.0
11/10/18,18:30:00,53.6,53.59,27.0,691.0
11/10/18,18:33:00,53.6,53.59,27.0,691.0
11/10/18,18:36:00,53.6,53.59,27.0,691.0
11/10/18,18:39:00,53.6,53.59,27.0,691.0
11/10/18,18:42:00,53.6,53.59,27.0,691.0
11/10/18,18:45:00,53.6,53.59,27.0,691.0
11/10/18,18:48:00,53.6,53.59,27.0,691.0
11/10/18,18:51:00,53.6,53.59,27.0,691.0
11/10/18,18:54:00,53.6,53.59,27.0,691.0
11/10/18,18:57:00,53.6,53.59,27.0,691.0
11/10/18,19:03:00,53.6,53.59,27.0,691.0
11/10/18,19:06:00,53.6,53.59,27.0,691.0
11/10/18,19:09:00,53.6,53.59,27.0,691.0
11/10/18,19:12:00,53.6,53.59,27.0,691.0
11/10/18,19:15:00,53.6,53.59,27.0,691.0
11/10/18,19:18:00,53.6,53.59,27.0,691.0
11/10/18,19:21:00,53.6,53.59,27.0,691.0
11/10/18,19:24:00,53.6,53.59,27.0,691.0
11/10/18,19:27:00,59.7,59.69,53.6,732.4
11/10/18,19:30:00,59.7,59.69,53.6,732.4
11/10/18,19:33:00,59.7,59.69,53.6,732.4
11/10/18,19:36:00,59.7,59.69,53.6,732.4
11/10/18,19:39:00,59.7,59.69,53.6,732.4
11/10/18,19:42:00,59.7,59.69,53.6,732.4
11/10/18,19:45:00,59.7,59.69,53.6,732.4
11/10/18,19:48:00,59.7,59.69,53.6,732.4
11/10/18,19:51:00,59.7,59.69,53.6,732.4
11/10/18,19:54:00,59.7,59.69,53.6,732.4
11/10/18,19:57:00,59.7,59.69,53.6,732.4
11/10/18,20:03:00,59.7,59.69,53.6,732.4
11/10/18,20:05:59,59.7,59.69,53.6,732.4
11/10/18,20:08:59,59.7,59.69,53.6,732.4
11/10/18,20:12:00,59.7,59.69,53.6,732.4
11/10/18,20:14:59,59.7,59.69,53.6,732.4
11/10/18,20:17:59,59.7,59.69,53.6,732.4
11/10/18,20:21:00,59.7,59.69,53.6,732.4
11/10/18,20:24:00,59.7,59.69,53.6,732.4
11/10/18,20:27:00,59.7,59.69,53.6,732.4
11/10/18,20:30:00,59.7,59.69,53.6,732.4
11/10/18,20:33:00,59.7,59.69,53.6,732.4
11/10/18,20:36:00,59.7,59.69,53.6,732.4
11/10/18,20:39:00,59.7,59.69,53.6,732.4
